stage,id,bytes,strategy,rounds,decode_ns,lifecycle_ns,bytes_per_second,paired_percent,ci95_low,ci95_high,allocations,allocated_bytes
exploratory,200M-25912205,643689,estimate,11,644615.9090909091,812716.6363636364,998562075.3725792,4.663759904052803,3.5182997706362586,5.8092200374693475,11903,4033133
exploratory,200M-25912205,643689,hybrid256,11,649515.3636363636,784286.0909090909,991029675.4125348,5.513920436156177,3.6591185699663136,7.36872230234604,10836,2752349
exploratory,200M-25912205,643689,bounded,11,652077.6363636364,791934.6363636364,987135525.134068,5.920352881639519,3.7431771067156223,8.097528656563416,12029,4281797
exploratory,200M-25912205,643689,native,11,627996.5454545454,768208.4545454546,1024988122.4013683,2.0003985970873495,0.5041818793654163,3.496615314809283,11422,5196749
exploratory,200M-25912205,643689,u256,11,634127.0909090909,769307.9090909091,1015078852.8482533,3.035540625314458,-0.9476164361368173,7.018697686765734,11422,5196749
exploratory,200M-25912205,643689,integers,11,630718.0,770424.8181818182,1020565450.8036872,2.4772721475821324,0.0969339036269119,4.857610391537353,11422,5196749
exploratory,200M-25912205,643689,count_int,11,652907.7272727273,803786.6363636364,985880505.1806707,6.047571582604694,3.9832202033975586,8.111922961811828,10395,1693869
exploratory,200M-25912205,643689,estimate_int,11,636262.9090909091,790013.1818181818,1011671418.8474405,3.3474558260062364,1.4115343345396951,5.283377317472778,11903,4033133
exploratory,200M-25912205,643689,hybrid_int,11,644587.5454545454,780289.1818181818,998606014.8681406,4.6651544988706,3.0660263773358474,6.264282620405353,10836,2752349
exploratory,200M-25912206,603475,baseline,11,601969.0,733153.4545454546,1002501789.9592836,0.0,0.0,0.0,11380,5039376
exploratory,200M-25912206,603475,manual,11,612761.6363636364,746567.6363636364,984844618.5065585,1.8007683724050008,1.0200729936068011,2.5814637512032004,11380,5039376
exploratory,200M-25912206,603475,count,11,637775.7272727273,779469.7272727273,946218198.9593663,5.953228214157374,5.194410425711504,6.712046002603244,10331,1638000
exploratory,200M-25912206,603475,estimate,11,627821.2727272727,785341.4545454546,961221013.392057,4.30313385487234,3.4861904725232904,5.120077237221389,11869,3896352
exploratory,200M-25912206,603475,hybrid256,11,629311.3636363636,756715.0,958945022.8785433,4.552978932059984,3.418643803911201,5.6873140602087675,10826,2714672
exploratory,200M-25912206,603475,bounded,11,629180.0,764559.4545454546,959145236.6572365,4.527547717233533,3.475898645572763,5.579196788894303,11895,4298224
exploratory,200M-25912206,603475,native,11,601700.0,732079.3636363636,1002949975.0706332,-0.03747438476463628,-0.8896381578723,0.8146893883430275,11380,5039376
exploratory,200M-25912206,603475,u256,11,604734.7272727273,738439.0,997916892.7863487,0.46246644215535754,-0.09302960877556082,1.0179624930862758,11380,5039376
exploratory,200M-25912206,603475,integers,11,602346.1818181818,734259.4545454546,1001874035.58932,0.07325787620970106,-1.0868409906816907,1.233356743101093,11380,5039376
exploratory,200M-25912206,603475,count_int,11,624947.8181818182,765095.0909090909,965640622.2134036,3.829767682163006,2.907825282375244,4.751710081950768,10331,1638000
exploratory,200M-25912206,603475,estimate_int,11,609473.0,764511.7272727273,990158710.8862903,1.2597022859982159,0.2856616038971771,2.2337429680992544,11869,3896352
exploratory,200M-25912206,603475,hybrid_int,11,617034.6363636364,745457.2727272727,978024513.4316167,2.5075998590456585,1.933990929651275,3.0812087884400423,10826,2714672
exploratory,200M-25912207,595363,baseline,11,558643.4545454546,676705.2727272727,1065729841.0207323,0.0,0.0,0.0,10469,5002219
exploratory,200M-25912207,595363,manual,11,565234.5454545454,685425.2727272727,1053302571.0967934,1.1882350955129521,0.6674140717924131,1.7090561192334912,10469,5002219
exploratory,200M-25912207,595363,count,11,589631.0,724717.0909090909,1009721334.1903665,5.565321653679537,4.383385925196494,6.74725738216258,9517,1550059
exploratory,200M-25912207,595363,estimate,11,568292.5454545454,719012.5454545454,1047634716.9463615,1.7376136634417716,1.033970848132348,2.4412564787511952,10841,3593499
exploratory,200M-25912207,595363,hybrid256,11,578936.9090909091,697976.3636363636,1028372851.430192,3.646762225497965,2.6821293248325304,4.6113951261634,9969,2553027
exploratory,200M-25912207,595363,bounded,11,574598.4545454546,705820.1818181818,1036137489.2157891,2.871346803839718,1.7904810710872516,3.9522125365921843,10997,4115611
